iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnktot(1)	M_lnkmratio(1)	M_lnkuDfrac(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnktot(1)	SD_lnkmratio(1)	SD_lnkuDfrac(1)	GSD_don(1)	GSD_d3g(1)	GSD_d15g(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnktot(1.1)	lnkmratio(1.1)	lnkuDfrac(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnktot(1.2)	lnkmratio(1.2)	lnkuDfrac(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnktot(1.3)	lnkmratio(1.3)	lnkuDfrac(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnktot(1.4)	lnkmratio(1.4)	lnkuDfrac(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnktot(1.5)	lnkmratio(1.5)	lnkuDfrac(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnktot(1.6)	lnkmratio(1.6)	lnkuDfrac(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnktot(1.7)	lnkmratio(1.7)	lnkuDfrac(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnktot(1.8)	lnkmratio(1.8)	lnkuDfrac(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnktot(1.9)	lnkmratio(1.9)	lnkuDfrac(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnktot(1.10)	lnkmratio(1.10)	lnkuDfrac(1.10)	lnFgutabs(1.11)	lnkgutelim(1.11)	lnktot(1.11)	lnkmratio(1.11)	lnkuDfrac(1.11)	lnFgutabs(1.12)	lnkgutelim(1.12)	lnktot(1.12)	lnkmratio(1.12)	lnkuDfrac(1.12)	lnFgutabs(1.13)	lnkgutelim(1.13)	lnktot(1.13)	lnkmratio(1.13)	lnkuDfrac(1.13)	lnFgutabs(1.14)	lnkgutelim(1.14)	lnktot(1.14)	lnkmratio(1.14)	lnkuDfrac(1.14)	lnFgutabs(1.15)	lnkgutelim(1.15)	lnktot(1.15)	lnkmratio(1.15)	lnkuDfrac(1.15)	lnFgutabs(1.16)	lnkgutelim(1.16)	lnktot(1.16)	lnkmratio(1.16)	lnkuDfrac(1.16)	LnPrior	LnData	LnPosterior
0	-3.22713	0.591398	-0.362397	-4.00868	-2.527	0.835521	0.842613	0.410389	0.524682	0.0292945	1.51416	1.1633	1.39291	0.0042491	0.561746	0.696253	-0.509973	-0.130904	0.0781405	0.401195	-0.477302	-0.17423	-1.02353	-0.337698	1.10882	0.200062	-1.34209	0.0129496	0.959381	-1.153	0.231788	-0.164724	-1.01898	-0.577438	1.07632	0.338811	0.046959	0.667906	-1.59376	-1.14329	-1.11545	0.808618	0.543498	-1.77752	1.59177	-0.706199	-0.125514	2.19745	-1.81876	-0.302401	0.731423	1.19162	-0.698359	-0.773385	1.10526	-0.138024	-1.21312	0.0708381	0.0619032	0.54695	-1.12491	0.42466	-0.614378	-1.74679	1.02208	-0.88876	0.392133	-0.998277	0.203664	-0.755697	-0.162185	1.57033	0.53058	-0.00721755	0.588229	1.6138	-0.1703	0.997423	-1.95257	0.702886	0.69334	-0.242185	0.419271	-0.493738	1.08644	-1.11977	1.43697	0.771487	-0.594304	-1.37217	0.283235	0.332067	-1.13401	-1.242944e+002	-7.473852e+004	-7.486281e+004
50	-0.433798	-1.8885	0.119623	-1.49704	-1.43486	0.19125	0.759879	0.409159	0.300071	0.252096	1.70727	1.95337	1.3429	-0.0419714	-2.57506	-0.272401	-0.766808	0.452929	-1.25969	-0.853376	1.33708	-0.520176	3.50574	-2.35746	-0.0994437	-0.554043	-0.640029	-0.330337	0.335239	-0.862356	-0.676653	-2.87349	-0.201615	1.13918	0.490107	-0.26731	-0.44678	0.655749	0.220188	0.604335	-1.03296	2.23153	-1.45685	-1.06688	-0.114027	-0.399609	-0.42818	-4.05754	0.162901	-0.209844	0.339395	-1.97121	1.64271	-1.31931	-1.25366	0.748127	1.11843	-1.59132	0.173728	-1.42852	-2.64867	1.49612	1.97955	0.168455	-0.177593	1.05161	0.533126	1.9983	2.21357	-0.42716	-0.403827	0.944657	-0.631953	-0.455083	0.473907	-0.75343	-1.39729	1.76927	1.43689	-0.528447	1.70964	0.272038	0.976819	-0.303245	-0.460684	-0.43522	0.0675669	-0.31101	-1.52932	-0.82537	-0.272993	-1.3223	1.09046	-1.529541e+002	-1.314378e+003	-1.467332e+003
100	-0.496533	-2.09781	0.289621	-1.3093	-1.51336	0.281483	0.616003	0.661902	0.539763	0.286664	1.56907	1.91588	1.26851	-0.247526	-2.0016	-0.457869	0.801257	-0.270101	-0.301433	-0.446481	-0.663238	-0.862482	3.3534	-1.70586	0.578018	0.368232	-0.788357	1.71066	-0.0752637	-0.488631	-0.603801	-1.75641	-0.115465	1.04929	-0.751917	0.579713	-0.481407	-0.00502243	0.549929	2.40619	-0.0547754	1.42221	-2.52509	-0.249851	0.227668	0.398281	0.398875	-3.20343	0.268335	0.218533	0.089238	-1.8419	1.65151	-0.52943	1.31901	0.602593	-0.560727	-1.97158	0.675257	-1.79969	-2.33982	-0.134463	2.18076	0.767639	-0.259348	0.269653	-0.28858	2.95037	1.31308	0.700466	0.639069	-0.698408	-0.819133	-0.0357421	0.588932	-0.465004	-1.1953	1.14251	0.907392	0.352808	0.259735	-1.07299	0.753938	-0.00645777	1.16931	1.92099	-0.0560177	1.434	-1.18653	-0.41382	0.463377	-1.95315	1.02587	-1.464589e+002	-1.296788e+003	-1.443247e+003
150	-0.432746	-2.40109	0.491086	-1.31728	-1.43396	0.288803	0.998175	1.0506	0.485426	0.338679	1.46968	1.74378	1.29022	-0.30652	-1.21283	-0.628113	-0.553189	-0.177494	-1.15538	0.354763	-0.277768	-0.348715	2.4238	-2.37995	0.440717	2.57657	-0.834444	0.807225	0.124801	-0.119528	-0.738799	-3.2606	0.108645	1.04455	-0.602899	-0.0858944	-0.025437	-1.04129	0.659201	-0.117016	0.158447	0.982433	-1.43989	-1.08382	0.313397	0.62458	-0.465896	-3.23845	0.00208045	0.10257	0.647074	-1.71753	1.66685	-0.752281	-0.383641	0.634825	0.288443	-2.50363	1.09917	-1.13269	-1.97372	0.473725	2.31883	0.373748	-0.306893	0.798665	-0.256789	1.72828	1.25802	1.09814	0.267586	-0.491372	-0.344019	0.629128	0.22226	-0.408203	-0.918419	1.52693	0.625935	1.1797	0.641279	-0.674101	0.852652	-0.693441	1.28248	-0.677616	0.310002	0.623347	-1.57783	0.379952	-0.568323	-1.92107	1.01008	-1.422706e+002	-1.279431e+003	-1.421701e+003
200	-0.43332	-2.24173	-0.0635351	-1.66971	-1.48985	0.305785	0.572325	0.914705	0.378712	0.454403	1.66664	1.80444	1.23842	-1.22605	-1.37652	0.143573	2.24483	0.239241	-1.26532	-0.080305	0.501242	0.336567	2.01517	-2.26823	1.62565	-0.483084	-1.22748	0.54322	-0.0825791	-0.347075	-0.205323	-2.06852	0.768674	0.708683	0.975235	-0.558451	-0.169909	-0.166812	0.259782	1.12954	0.661941	0.597278	-0.728665	-0.477828	-0.550649	2.08556	0.863423	-2.35186	0.207309	0.363652	0.640592	-0.781441	1.45506	-1.38085	1.53902	-0.126851	0.852335	-1.02896	1.01658	-2.90122	-1.80643	0.968372	0.990207	0.841155	-2.01119	1.11262	-0.00876261	1.39347	1.17792	2.08803	-1.1419	0.190434	-0.230364	0.429061	1.24486	-1.35296	0.0903902	0.853193	1.0786	-1.00078	0.616681	0.0658185	0.937273	-0.711557	1.29078	0.324958	1.36265	0.803951	-1.94895	0.650168	0.49986	-1.46336	0.383705	-1.405307e+002	-1.283751e+003	-1.424281e+003
250	-0.46375	-2.20919	0.643819	-1.66262	-1.43148	0.303889	0.707982	0.895607	0.460363	0.475303	1.6268	1.83281	1.25336	-1.26073	-0.51018	-0.543013	0.841952	-0.0343736	-0.211993	-1.20893	-0.048505	0.923433	1.83094	-2.37504	1.46356	0.640331	-0.550275	0.0446046	-0.575355	0.778113	1.4055	-2.73455	1.13304	1.03616	-0.682945	-0.660588	-0.754134	-0.685616	0.325217	1.01431	-0.191281	1.42676	-0.876176	-0.0834464	-0.625761	0.107725	0.724012	-1.98338	-0.202778	0.299633	-0.050697	-0.502712	0.754082	-0.968273	0.896921	-0.478995	0.238296	-1.6117	1.02239	-2.84873	-1.99979	0.416562	1.0949	1.06406	-2.32295	0.746458	1.0804	1.20298	1.22458	-0.601162	0.682841	0.381556	-0.201676	0.226121	-0.113627	1.57499	-0.256757	1.08422	1.01449	-0.23532	0.332431	-0.0427489	0.282826	-0.918527	1.29399	-0.493104	-0.356378	0.588261	-1.67975	0.407009	-0.960474	-0.987597	0.294974	-1.329040e+002	-1.282907e+003	-1.415811e+003
300	-0.468113	-1.92265	0.623809	-1.74208	-1.47557	0.283449	0.535205	0.995429	0.462566	0.493164	1.55124	1.88726	1.23882	-1.19673	-0.968967	-1.08317	1.88454	-0.171541	-0.456712	-1.74788	0.181366	0.118026	1.75819	-2.11001	0.151744	-0.0297523	-0.587493	0.749	-0.475072	-0.968187	0.640215	-0.742808	0.253028	0.987846	-0.183758	-1.21029	0.705346	-0.565348	-0.0209347	1.73865	-0.195382	2.26214	-1.47033	-0.463339	-0.673904	1.22948	0.324861	-2.52793	0.0756256	0.0840443	-0.495848	-0.0211886	0.978833	-1.04462	-0.335501	0.220217	1.43145	-1.74463	0.478676	-2.23654	-1.92501	0.93123	1.36834	0.708788	-1.4251	0.442604	0.322928	1.34685	1.24574	-1.10865	0.384434	0.597255	-0.868326	0.498043	-0.419694	-0.946885	0.368639	0.936589	0.775187	-1.14998	1.11741	-0.74355	0.2163	-0.0752629	0.150572	0.118069	0.737048	0.556669	-1.60254	-0.129916	-0.614177	-0.95822	0.783432	-1.309583e+002	-1.275753e+003	-1.406711e+003
350	-0.575574	-2.20967	0.244092	-1.64175	-1.4785	0.213324	0.974273	0.987147	0.589161	0.470173	1.5368	1.80282	1.24149	-0.58642	-0.89087	-0.447416	0.93085	0.378042	-2.03779	0.666488	-0.333897	-0.0405447	1.76256	-2.64669	0.452671	1.77776	-0.556756	0.166421	-0.0682668	0.191541	-0.0927419	-0.950041	1.15008	1.64816	-0.0393579	0.297397	0.407133	-0.649298	1.48721	2.16644	-0.57639	1.51395	-1.10638	-0.33224	-0.0478411	0.892759	0.279042	-2.52486	0.703854	0.339859	-0.150884	-1.25628	0.928249	-0.410671	0.244457	-0.93244	0.83804	-1.77089	1.20435	-0.616302	-1.83125	-0.0472514	1.36664	1.4371	-0.836923	0.802597	0.433363	1.18768	2.11005	-0.736543	1.03346	-0.74172	-0.996314	0.689978	0.741231	0.208047	-0.386704	0.783924	1.49494	0.788511	0.601179	0.000896025	0.560831	-0.568114	1.01281	0.427103	-0.199946	0.633349	-1.36934	0.345665	-0.712972	-0.80985	0.672388	-1.315900e+002	-1.276664e+003	-1.408254e+003
400	-0.622981	-2.22213	0.40501	-1.68126	-1.51782	0.269684	0.9396	0.908677	0.612626	0.562931	1.60726	1.73171	1.27007	-0.583966	-0.312139	-1.6739	0.595545	0.355262	-1.0979	0.342869	-0.571369	0.456278	1.5327	-3.41684	2.52053	0.48114	0.336106	0.597818	0.630085	-0.801535	0.956458	-2.47759	-0.529011	1.73081	-0.368133	1.89821	0.26297	-0.602046	0.760616	0.895032	1.80493	1.66553	-1.03543	-0.530836	0.487595	0.237785	0.391234	-1.9161	0.450901	1.2116	-0.645709	-1.09924	1.14381	-0.814971	0.0877235	0.44987	1.3616	-1.32916	1.20472	-0.632723	-2.0546	0.274317	1.46738	1.57238	-0.788958	1.42967	0.107664	1.65975	2.25736	-0.786101	0.518241	0.620678	-0.12445	0.772723	0.487139	-0.523892	0.134243	0.991042	1.64605	0.578665	-0.4613	-0.213137	0.513008	0.52662	-0.239902	1.11747	-0.337253	0.622574	-1.318	0.557527	-1.00367	-0.606595	0.532111	-1.392468e+002	-1.291630e+003	-1.430876e+003
450	-0.5442	-2.64946	0.344205	-1.6444	-1.40343	0.312995	1.12323	0.700872	0.577741	0.493798	1.46666	1.85758	1.28019	0.476821	-1.16908	0.0964756	0.45971	0.153657	-0.5446	0.653443	-0.585683	0.251013	1.82857	-1.49405	0.798035	1.22245	-0.166666	0.663562	1.26677	-1.36535	-0.443566	-0.933765	0.83034	0.77117	0.226943	1.17004	-0.20823	-0.884511	0.921938	2.15983	-0.0754136	1.36026	-1.24729	-0.348554	0.823105	-0.372093	0.326777	-2.50499	0.0331767	0.851463	0.910705	-0.361466	0.972954	-1.37198	0.797448	-0.159517	0.254629	-2.13475	1.1028	-1.20991	-1.49438	-0.132731	1.20002	1.41636	-1.14996	1.30405	0.850897	0.986964	1.19065	0.930752	0.722972	0.240945	-0.32545	0.532958	0.550683	0.4168	-0.273521	0.799893	0.936084	0.875083	-0.535655	0.204319	0.755229	0.556804	-0.20666	1.29036	-0.114634	0.691277	-0.789933	0.444218	-1.06327	-0.877164	0.35909	-1.257605e+002	-1.290455e+003	-1.416216e+003
