Level	Simulation	Output_Var	Time	Data	Prediction
1_1	1	Qu_don_out	4.37	7.57181	8.67911
1_1	1	Qu_don_out	8.28	22.5081	15.7824
1_1	1	Qu_don_out	10.83	26.3508	18.6381
1_1	1	Qu_don_out	15.98	28.4837	21.7887
1_1	1	Qu_don_out	19.78	29.4301	22.8815
1_1	1	Qu_don_out	21.72	29.5078	23.2236

1_1	1	Qu_d3g_out	4.37	5.88897	6.33406
1_1	1	Qu_d3g_out	8.28	14.1767	11.5181
1_1	1	Qu_d3g_out	10.83	17.532	13.6022
1_1	1	Qu_d3g_out	15.98	20.574	15.9015
1_1	1	Qu_d3g_out	19.78	21.1548	16.6991
1_1	1	Qu_d3g_out	21.72	21.1813	16.9487

1_1	1	Qu_d15g_out	4.37	17.6449	26.3536
1_1	1	Qu_d15g_out	8.28	48.51	47.9222
1_1	1	Qu_d15g_out	10.83	60.1585	56.5935
1_1	1	Qu_d15g_out	15.98	69.0014	66.1599
1_1	1	Qu_d15g_out	19.78	69.8358	69.4784
1_1	1	Qu_d15g_out	21.72	70.8665	70.5169

1_1	1	Qu_don	0		0
1_1	1	Qu_don	0.1		0.0117932
1_1	1	Qu_don	0.2		0.045991
1_1	1	Qu_don	0.3		0.1009
1_1	1	Qu_don	0.4		0.174936
1_1	1	Qu_don	0.5		0.266608
1_1	1	Qu_don	0.6		0.374522
1_1	1	Qu_don	0.7		0.497372
1_1	1	Qu_don	0.8		0.633932
1_1	1	Qu_don	0.9		0.783058
1_1	1	Qu_don	1		0.943672
1_1	1	Qu_don	1.1		1.11477
1_1	1	Qu_don	1.2		1.29541
1_1	1	Qu_don	1.3		1.48471
1_1	1	Qu_don	1.4		1.68185
1_1	1	Qu_don	1.5		1.88605
1_1	1	Qu_don	1.6		2.0966
1_1	1	Qu_don	1.7		2.31283
1_1	1	Qu_don	1.8		2.5341
1_1	1	Qu_don	1.9		2.75982
1_1	1	Qu_don	2		2.98946
1_1	1	Qu_don	2.1		3.22249
1_1	1	Qu_don	2.2		3.45844
1_1	1	Qu_don	2.3		3.69688
1_1	1	Qu_don	2.4		3.93737
1_1	1	Qu_don	2.5		4.17954
1_1	1	Qu_don	2.6		4.42304
1_1	1	Qu_don	2.7		4.66752
1_1	1	Qu_don	2.8		4.91268
1_1	1	Qu_don	2.9		5.15823
1_1	1	Qu_don	3		5.4039
1_1	1	Qu_don	3.1		5.64946
1_1	1	Qu_don	3.2		5.89467
1_1	1	Qu_don	3.3		6.13931
1_1	1	Qu_don	3.4		6.3832
1_1	1	Qu_don	3.5		6.62616
1_1	1	Qu_don	3.6		6.86802
1_1	1	Qu_don	3.7		7.10862
1_1	1	Qu_don	3.8		7.34784
1_1	1	Qu_don	3.9		7.58553
1_1	1	Qu_don	4		7.82158
1_1	1	Qu_don	4.1		8.0559
1_1	1	Qu_don	4.2		8.28837
1_1	1	Qu_don	4.3		8.51892
1_1	1	Qu_don	4.4		8.74746
1_1	1	Qu_don	4.5		8.97392
1_1	1	Qu_don	4.6		9.19823
1_1	1	Qu_don	4.7		9.42034
1_1	1	Qu_don	4.8		9.6402
1_1	1	Qu_don	4.9		9.85775
1_1	1	Qu_don	5		10.073
1_1	1	Qu_don	5.1		10.2858
1_1	1	Qu_don	5.2		10.4963
1_1	1	Qu_don	5.3		10.7043
1_1	1	Qu_don	5.4		10.9099
1_1	1	Qu_don	5.5		11.113
1_1	1	Qu_don	5.6		11.3136
1_1	1	Qu_don	5.7		11.5117
1_1	1	Qu_don	5.8		11.7073
1_1	1	Qu_don	5.9		11.9005
1_1	1	Qu_don	6		12.0911
1_1	1	Qu_don	6.1		12.2792
1_1	1	Qu_don	6.2		12.4649
1_1	1	Qu_don	6.3		12.648
1_1	1	Qu_don	6.4		12.8287
1_1	1	Qu_don	6.5		13.0068
1_1	1	Qu_don	6.6		13.1826
1_1	1	Qu_don	6.7		13.3558
1_1	1	Qu_don	6.8		13.5267
1_1	1	Qu_don	6.9		13.6951
1_1	1	Qu_don	7		13.8611
1_1	1	Qu_don	7.1		14.0247
1_1	1	Qu_don	7.2		14.1859
1_1	1	Qu_don	7.3		14.3448
1_1	1	Qu_don	7.4		14.5014
1_1	1	Qu_don	7.5		14.6557
1_1	1	Qu_don	7.6		14.8077
1_1	1	Qu_don	7.7		14.9574
1_1	1	Qu_don	7.8		15.1049
1_1	1	Qu_don	7.9		15.2501
1_1	1	Qu_don	8		15.3932
1_1	1	Qu_don	8.1		15.5341
1_1	1	Qu_don	8.2		15.6729
1_1	1	Qu_don	8.3		15.8095
1_1	1	Qu_don	8.4		15.9441
1_1	1	Qu_don	8.5		16.0766
1_1	1	Qu_don	8.6		16.207
1_1	1	Qu_don	8.7		16.3354
1_1	1	Qu_don	8.8		16.4619
1_1	1	Qu_don	8.9		16.5863
1_1	1	Qu_don	9		16.7089
1_1	1	Qu_don	9.1		16.8295
1_1	1	Qu_don	9.2		16.9482
1_1	1	Qu_don	9.3		17.065
1_1	1	Qu_don	9.4		17.1801
1_1	1	Qu_don	9.5		17.2933
1_1	1	Qu_don	9.6		17.4047
1_1	1	Qu_don	9.7		17.5143
1_1	1	Qu_don	9.8		17.6222
1_1	1	Qu_don	9.9		17.7284
1_1	1	Qu_don	10		17.8329
1_1	1	Qu_don	10.1		17.9357
1_1	1	Qu_don	10.2		18.0369
1_1	1	Qu_don	10.3		18.1365
