iter	M_lnFgutabs(1)	M_lnkgutelim(1)	M_lnktot(1)	M_lnkmratio(1)	M_lnkeDfrac(1)	SD_lnFgutabs(1)	SD_lnkgutelim(1)	SD_lnktot(1)	SD_lnkmratio(1)	SD_lnkeDfrac(1)	GSD_don(1)	GSD_d3g(1)	GSD_d15g(1)	lnFgutabs(1.1)	lnkgutelim(1.1)	lnktot(1.1)	lnkmratio(1.1)	lnkeDfrac(1.1)	lnFgutabs(1.2)	lnkgutelim(1.2)	lnktot(1.2)	lnkmratio(1.2)	lnkeDfrac(1.2)	lnFgutabs(1.3)	lnkgutelim(1.3)	lnktot(1.3)	lnkmratio(1.3)	lnkeDfrac(1.3)	lnFgutabs(1.4)	lnkgutelim(1.4)	lnktot(1.4)	lnkmratio(1.4)	lnkeDfrac(1.4)	lnFgutabs(1.5)	lnkgutelim(1.5)	lnktot(1.5)	lnkmratio(1.5)	lnkeDfrac(1.5)	lnFgutabs(1.6)	lnkgutelim(1.6)	lnktot(1.6)	lnkmratio(1.6)	lnkeDfrac(1.6)	lnFgutabs(1.7)	lnkgutelim(1.7)	lnktot(1.7)	lnkmratio(1.7)	lnkeDfrac(1.7)	lnFgutabs(1.8)	lnkgutelim(1.8)	lnktot(1.8)	lnkmratio(1.8)	lnkeDfrac(1.8)	lnFgutabs(1.9)	lnkgutelim(1.9)	lnktot(1.9)	lnkmratio(1.9)	lnkeDfrac(1.9)	lnFgutabs(1.10)	lnkgutelim(1.10)	lnktot(1.10)	lnkmratio(1.10)	lnkeDfrac(1.10)	lnFgutabs(1.11)	lnkgutelim(1.11)	lnktot(1.11)	lnkmratio(1.11)	lnkeDfrac(1.11)	lnFgutabs(1.12)	lnkgutelim(1.12)	lnktot(1.12)	lnkmratio(1.12)	lnkeDfrac(1.12)	lnFgutabs(1.13)	lnkgutelim(1.13)	lnktot(1.13)	lnkmratio(1.13)	lnkeDfrac(1.13)	lnFgutabs(1.14)	lnkgutelim(1.14)	lnktot(1.14)	lnkmratio(1.14)	lnkeDfrac(1.14)	lnFgutabs(1.15)	lnkgutelim(1.15)	lnktot(1.15)	lnkmratio(1.15)	lnkeDfrac(1.15)	lnFgutabs(1.16)	lnkgutelim(1.16)	lnktot(1.16)	lnkmratio(1.16)	lnkeDfrac(1.16)	LnPrior	LnData	LnPosterior
0	-1.40812	-0.694722	0.309096	3.80008	-0.505912	0.09837	0.380852	0.125769	0.00249994	0.289314	1.75943	2.80237	1.64145	-0.30555	-0.305689	-0.13501	1.64604	0.675648	-0.199976	-0.395239	0.595136	0.517384	-0.144603	1.35594	-0.0858437	-0.045062	-0.389501	0.253729	-1.09483	-0.562119	-0.720561	0.01741	1.6953	-1.67605	0.479798	-1.15883	2.08198	-0.0295167	-0.29919	-0.291616	0.44109	0.121569	0.210482	0.424641	0.52584	0.724191	-1.94372	-0.494199	-1.50282	0.760124	-0.453282	-1.83389	0.782613	0.62818	1.48826	2.57875	0.713064	-1.26455	-1.01173	-1.02575	-0.827844	1.74704	-1.00254	-0.739453	0.728338	0.0523268	-0.393865	1.48407	-0.695368	1.06135	0.174399	-0.145953	-1.32211	0.0249782	-0.206486	0.3806	0.431424	-1.37007	-1.68192	0.222044	-1.14454	0.42918	0.65536	-1.66257	0.383274	1.85727	-0.673568	-1.23021	-0.679772	0.0398199	1.06641	-1.51628	-1.08887	-1.292540e+02	-7.662656e+03	-7.791910e+03
10	-1.01675	-0.694722	1.32177	-0.839155	-2.50226	0.261175	0.587443	0.147425	0.461172	0.420611	2.65836	2.43544	1.63401	-0.111079	-2.49884	0.969862	-1.01121	1.79828	0.828229	-2.716	0.132172	-1.16746	3.69594	-1.08367	-0.90116	-0.76692	-2.10122	0.906033	-0.540776	0.0196137	-0.652922	-1.45425	1.88699	0.873083	1.69784	0.930201	-1.03961	4.32846	1.05455	-0.885715	0.744609	0.259116	1.62278	0.533079	-1.62335	-0.410177	-0.819954	-0.47734	0.0543921	-0.353795	0.674924	-2.1562	1.94455	-0.125477	-0.229112	2.118	-0.729741	0.519825	0.889609	-2.7709	0.602976	-2.05857	3.80803	-0.33603	-0.198976	-0.570115	-1.18426	2.38239	2.48044	-0.197644	-0.796968	-0.35899	1.2756	2.10825	-0.597745	-0.805401	-1.75452	2.40716	0.707403	1.77775	0.10939	-0.682566	2.31974	-1.31552	0.47585	0.114105	-1.32329	3.09584	-0.689523	-0.738453	-0.363256	-2.81606	1.8753	-1.893896e+02	-1.487622e+03	-1.677011e+03
20	-1.01675	-1.10249	0.862842	-0.839155	-2.45497	0.262873	0.560242	0.656299	0.613126	0.4621	1.67741	1.90183	1.63401	-0.147269	-2.2547	0.23427	-0.0900868	2.38888	-0.137343	-1.27603	-1.15009	-0.750145	3.86266	-0.176557	0.23542	-0.469865	-2.22678	2.60332	-0.141696	-1.07369	0.0953018	-1.45425	2.93403	1.56713	-0.941296	0.27301	-1.18692	1.72908	2.44417	-0.900136	1.0812	0.216092	1.62278	0.533079	-0.417566	-1.14381	0.284857	-0.224485	1.35471	-0.477543	0.0167002	-2.22872	2.28563	0.653586	0.210008	-0.492553	-0.522934	0.130305	0.889609	-1.42297	-1.20019	-0.907434	2.72974	1.09041	-0.622664	0.121629	-1.26392	3.50521	2.91935	1.3809	-1.46123	-0.270153	1.39802	1.61429	0.982372	0.979558	-1.27226	3.04505	2.64025	0.787646	-0.424897	-0.841476	2.31974	1.16868	-1.64351	0.963478	-0.237954	2.10516	0.604091	-2.42738	-0.770535	-1.71913	2.45084	-1.919444e+02	-1.374520e+03	-1.566465e+03
30	-0.972314	-1.35257	-0.212566	-0.889973	-2.45497	0.270861	0.134388	0.458488	0.605673	0.545291	1.67452	1.91251	1.63379	-1.11772	-0.684925	-1.74067	-0.326035	2.05352	0.227475	0.200098	-0.352506	-2.00362	3.38292	-0.673821	0.390486	-0.363821	-0.859782	2.47782	0.227657	1.67364	-1.74589	-2.02084	1.86874	2.13191	0.937394	-0.0629166	-1.41465	1.17756	2.49285	1.38722	0.962416	0.0794105	0.349927	0.868748	-1.6433	1.1386	-1.08535	-0.224485	1.90267	-0.196345	-0.883992	-0.892677	2.95244	0.62039	1.94549	-0.836712	0.836968	-0.278029	1.43505	-2.04813	-3.2518	-0.369584	2.72849	1.70624	-0.259862	1.1836	-0.48744	2.93255	3.38646	0.341997	-1.0205	-0.59982	0.912576	2.0055	0.982372	1.92411	-1.84138	2.36153	2.22005	1.23181	-0.126751	-0.841476	3.07953	1.05722	0.958545	-0.403732	-1.50091	2.24924	0.0754485	-0.329484	-1.85882	-1.51563	2.71004	-1.919320e+02	-1.346152e+03	-1.538084e+03
40	-0.978799	-1.35257	-0.243871	-1.03281	-2.46675	0.276623	0.266197	0.428145	0.466937	0.539779	1.51343	1.96619	1.32403	-0.128415	-3.09614	-0.555968	-0.326035	2.05352	-0.0142084	0.806819	-0.584562	-2.27838	3.38292	-0.140307	-0.748665	-0.297935	-1.8795	1.42737	0.91206	0.31208	-1.71661	-1.85798	2.38046	2.45629	-0.283164	1.49679	-1.71411	1.17756	2.50072	-0.228294	0.223111	-0.261063	0.521015	0.850909	0.998391	-1.12739	-0.107038	0.0236428	1.31204	0.641889	0.609536	-1.97295	3.01463	0.191424	-0.0555704	-0.0180248	0.387784	0.0238849	1.48397	-0.226087	-3.2518	-0.20228	2.72849	2.05565	0.187763	0.435562	-0.48744	2.74993	3.38646	1.03733	0.142857	0.0781449	1.42327	2.0055	1.25209	0.480554	-1.36355	2.28777	2.37731	0.0890619	0.790132	-0.99295	1.8528	1.49704	-1.02362	-1.21119	-0.565395	2.41612	0.122549	-0.393724	-0.896365	-2.70888	2.61552	-1.841898e+02	-1.317491e+03	-1.501681e+03
50	-0.978799	-1.5906	-0.336827	-1.50556	-2.41887	0.26484	0.210595	0.351419	0.270669	0.532717	1.61652	1.92636	1.29486	0.181973	-3.08038	0.65303	1.95691	1.69011	0.386575	0.402222	-0.403234	-1.73862	3.38292	-0.512946	0.555817	-0.777626	-0.908455	1.46158	0.630369	-1.73545	-0.0680569	-1.22037	1.82415	3.04088	-0.239529	0.176083	0.306458	1.17756	2.37101	1.46256	0.609643	0.574102	0.434299	1.7841	1.01088	-0.791287	-0.164115	-0.695053	1.81278	-0.328068	0.430643	-2.78281	2.56664	0.191424	0.288123	0.0855165	0.47553	0.292678	1.47912	-0.35762	-3.2518	-0.20228	2.72849	2.08798	0.545795	-0.725956	1.34747	2.74993	3.38646	1.06678	0.0958932	-0.53629	0.989174	2.0055	-0.492545	-0.121809	-0.382303	2.28794	2.63451	1.47813	1.48827	-0.99295	2.47105	1.16465	-0.332932	1.20805	-1.2997	2.40821	-0.128286	0.588654	-0.392867	-2.40841	2.61552	-1.823868e+02	-1.314034e+03	-1.496420e+03
60	-0.927107	-1.42409	-0.722618	-1.50556	-2.3594	0.238597	0.406707	0.399478	0.224447	0.529801	1.59808	2.00863	1.30036	-0.184843	-1.39688	-1.21234	-0.985618	1.59986	0.369539	0.233794	0.411569	0.7827	3.5342	-0.471453	-0.127759	1.27527	-1.07532	1.72333	1.81613	0.417521	-0.0680569	-2.87714	2.32645	3.05291	-0.36211	0.176083	-0.0961749	0.774842	2.31367	1.46256	0.614593	1.27876	1.13737	0.808535	1.01088	1.13112	-0.0467701	-0.490401	2.01031	0.822683	0.623537	0.225588	2.56664	0.396372	0.215184	-1.09037	0.0581318	0.947641	2.04507	-0.820895	-2.42502	-0.544782	2.84951	3.13539	-0.209242	-0.725956	0.748289	2.74993	3.38646	-1.45975	0.991341	-1.22591	1.26737	2.37192	-0.0798642	0.205477	0.686724	2.59375	1.83859	1.47813	2.58952	-1.88363	1.57229	1.16465	0.730047	1.22815	0.13212	2.30533	-0.00907797	-0.190772	-0.145336	-2.11118	2.34112	-1.832382e+02	-1.304327e+03	-1.487566e+03
70	-0.883828	-1.21099	-0.884372	-1.6851	-2.3594	0.230765	0.351135	0.441002	0.300389	0.547645	1.54147	1.8651	1.26005	0.5487	-2.52945	-1.70121	1.28956	1.47335	0.369539	0.204073	0.403245	-1.01503	3.5342	-0.522816	0.24562	0.214176	-0.399532	1.75057	0.347652	-0.341936	-0.197201	-1.24714	2.09433	2.67475	0.775282	0.176083	-1.0544	1.45603	1.89918	1.20038	1.88739	1.20061	0.0748571	1.55395	1.01088	0.0292962	0.381732	-0.936395	1.54968	1.37751	1.13073	0.531729	2.76811	1.12896	-0.517065	-1.20206	0.946847	-0.244677	2.11873	-2.22878	-2.29844	-0.464571	2.71377	3.13539	0.794063	-1.25069	2.00987	2.67226	3.42872	-1.45391	0.172652	0.404454	0.976575	2.37192	-1.40955	0.870558	-0.315929	2.18444	3.2318	-0.0749382	-0.221678	0.569498	1.70323	1.16465	0.923574	0.316768	-0.580803	1.61715	-0.253053	0.014682	-0.350782	-1.19603	2.34112	-1.802727e+02	-1.304075e+03	-1.484348e+03
80	-0.865217	-1.32592	-0.864047	-1.62207	-2.34329	0.230765	0.408559	0.335741	0.424627	0.547645	1.5973	1.92945	1.33361	-0.444738	-2.37177	-0.83644	0.438144	1.47335	0.403351	1.10359	-0.253564	-0.0514235	3.5342	-0.778771	0.494742	0.214176	-0.577978	1.56152	0.347652	1.34847	-0.197201	-2.33194	1.7055	2.85982	0.253767	1.38603	-0.0904441	1.08831	1.78363	1.49534	1.61756	0.890953	0.943585	1.25828	1.01088	-0.765699	0.568134	-0.985657	2.04879	0.0677944	-0.289372	-0.797064	2.361	0.364099	-0.517065	0.386529	0.722361	0.776957	1.89251	-2.30763	-1.75085	0.354504	2.42181	3.263	-0.632369	-1.32231	0.223897	2.93527	3.41824	0.923797	0.142333	0.286872	1.07044	2.27556	-0.0580726	1.74485	-0.764276	2.43076	2.64797	-0.293311	1.51041	-1.27494	1.85881	0.870119	0.704886	1.69078	0.270521	2.21611	-0.313506	-0.245467	-0.172319	-0.797666	2.34112	-1.771779e+02	-1.295826e+03	-1.473004e+03
90	-0.865217	-1.47844	-0.543492	-1.6036	-2.34329	0.230765	0.00624002	0.439419	0.481298	0.542663	1.64644	1.80592	1.28263	-1.20889	0.770133	-1.82674	0.618878	1.76755	0.403351	0.374961	-0.290959	-0.494737	3.41806	-0.727438	-0.0938353	0.525046	0.252344	2.56069	0.66873	0.921607	-0.197201	-1.80329	2.31115	2.77007	1.02518	0.907027	0.289266	0.564776	2.12439	1.70288	2.47636	1.60183	0.649656	1.28349	-1.43508	-0.29169	-0.0163025	-0.981769	2.04844	-0.607206	1.00193	-0.797064	2.49222	-0.40132	-0.517065	1.1051	0.885015	0.0711964	1.11039	-0.411992	-2.08281	-0.361881	2.76953	3.24817	0.802215	-1.32231	0.508983	2.93527	3.11835	-0.960175	2.12734	-0.101732	0.914736	2.27556	0.179633	1.69062	0.440515	2.40906	3.57238	1.3547	-0.640805	-0.699084	2.71564	0.887053	0.0406194	0.848731	0.345681	1.66577	-0.720547	0.764831	0.333955	-0.797666	2.34112	-1.830142e+02	-1.299370e+03	-1.482384e+03
